code,company,corpcode
000210,DL,00109693
004840,DRB동일,00118266
155660,DSR,00110608
078930,GS,00500254
001390,KG케미칼,00101220
025000,KPX케미칼,00191472
058860,KTis,00372873
011070,LG이노텍,00105961
037560,LG헬로비전,00222532
108670,LX하우시스,00759513
383800,LX홀딩스,01562589
023150,MH에탄올,00121534
035420,NAVER,00266961
010060,OCI,00148896
402340,SK스퀘어,01596425
096770,SK이노베이션,00631518
011810,STX,00138297
024070,WISCOM,00142865
011420,갤럭시아에스엠,00129554
002100,경농,00101433
012320,경동인베스트,00143527
007690,국도화학,00104388
005320,국동,00168331
014530,극동유화,00105156
090350,노루페인트,00583442
005250,녹십자홀딩스,00108135
353200,대덕전자,01478712
128820,대성산업,00828789
047040,대우건설,00124540
003090,대웅,00111810
000430,대원강업,00111847
145720,덴티움,00526599
000020,동화약품,00119195
336260,두산퓨얼셀,01412725
286940,롯데정보통신,01262032
008560,메리츠증권,00163682
017180,명문제약,00121039
012690,모나리자,00173102
204210,모두투어리츠,01035289
003850,보령제약,00123143
001270,부국증권,00123772
028050,삼성엔지니어링,00126308
005930,삼성전자,00126380
068290,삼성출판사,00423690
003230,삼양식품,00126955
003720,삼영화학공업,00127255
004380,삼익THK,00127802
010960,삼호개발,00128980
001290,상상인증권,00112059
136490,선진,00855093
004490,세방전지,00133858
016590,신대양제지,00135777
029530,신도리코,00135795
031430,신세계인터내셔날,00234412
293940,신한알파리츠,01276594
055550,신한지주,00382199
102280,쌍방울,00681142
003620,쌍용자동차,00138242
137310,에스디바이오센서,00854997
078520,에이블씨엔씨,00400857
012280,영화금속,00141413
007310,오뚜기,00141529
105840,우진,00173944
008600,윌비스,00104999
033270,유나이티드,00158963
023800,인지컨트롤스,00103510
129260,인터지스,00151368
013360,일성건설,00146232
081000,일진다이아,00508274
033240,자화전자,00146861
271980,제일약품,01236897
002620,제일파마홀딩스,00148443
001550,조비,00148948
001630,종근당홀딩스,00149354
071320,지역난방공사,00159698
272450,진에어,00653024
009070,케이씨티시,00103042
417310,코람코더원리츠,01180118
003070,코오롱글로벌,00152880
120110,코오롱인더,00795135
031820,콤텍시스템,00186559
020120,키다리스튜디오,00140131
004100,태양금속공업,00153755
214420,토니모리,00816544
168490,한국패러랠,00960641
009240,한샘,00161693
009180,한솔로지스틱스,00140946
002220,한일철강,00163196
009460,한창제지,00163761
088350,한화생명,00113058
009830,한화솔루션,00162461
000720,현대건설,00164478
004560,현대비앤지스틸,00125743
005380,현대자동차,00164742
001500,현대차증권,00137997
111110,호전실업,00226316
311690,CJ 바이오사이언스,01071041
050120,ES큐브,00175623
405350,IBKS제17호스팩,01591606
095340,ISC,00572905
067290,JW신약,00110431
024120,KB오토시스,00157539
060720,KH바텍,00378628
060370,KT서브마린,00225742
024940,PN풍년,00133557
036120,SCI평가정보,00260745
032540,TJ미디어,00201733
217730,강스템바이오텍,01025644
331520,교보9호스팩,01398151
043650,국순당,00256715
078130,국일제지,00104573
204020,그리티,00671978
019660,글로본,00159731
308100,까스텔바작,01181807
286750,나노브릭,01136001
137080,나래나노텍,00362122
094860,네오리진,00599106
311390,네오크레마,01219155
085910,네오티스,00447928
007390,네이처셀,00117276
054050,농우바이오,00176835
012340,뉴인텍,00105040
270870,뉴트리,01214248
340360,다보링크,01416642
032190,다우데이타,00238782
078140,대봉엘에스,00442826
290380,대유,00384948
290120,대유에이피,01182578
023910,대한약품,00113128
213420,덕산네오룩스,01061558
006620,동구바이오제약,00114686
099410,동방선기,00526678
203650,드림시큐리티,01038693
066900,디에이피,00303192
127120,디엔에이링크,00642541
033130,디지틀조선,00231442
294140,레몬,01011395
219420,링크제니시스,01109955
377480,마인즈랩,01297898
078160,메디포스트,00453929
250060,모비스,01165155
118990,모트렉스,00876908
328380,미래에셋대우스팩3호,01390399
214610,미코바이오메드,01049167
251120,바이오에프디엔씨,01160974
019010,베뉴지,00267906
337930,브랜드엑스코퍼레이션,01391103
365900,브이씨,01354740
146320,비씨엔씨,01301623
122350,삼기,00799177
023600,삼보판지,00125938
377630,삼성스팩4호,01528530
252990,샘씨엔에스,01199727
086710,선진뷰티사이언스,00132202
037350,성도이엔지,00216498
080470,성창오토텍,00486370
049180,셀루메드,00310156
208370,셀바스헬스케어,01047451
192440,슈피겐코리아,00917861
115570,스타플렉스,00405959
330730,스톤브릿지벤처스,01305249
013810,스페코,00136165
269620,시스웍,01188378
139050,시티랩스,00656021
344050,신영스팩6호,01419986
010280,쌍용정보통신,00138303
066790,씨씨에스,00249441
900120,씨케이에이치,00800084
246720,아스타,01157235
127710,아시아경제,00665676
339950,아이비김영,01414422
099190,아이센스,00550994
068940,아이씨케이,00308896
090150,아이윈,00365624
059100,아이컴포넌트,00407285
052460,아이크래프트,00405719
124500,아이티센,00620868
361570,알비더블유,01303029
096610,알에프세미,00516246
061040,알에프텍,00309831
347860,알체라,01405451
117670,알파홀딩스,00605124
310200,애니플러스,01335578
238090,앤디포스,00942131
174900,앱클론,00991191
102120,어보브반도체,00591441
065420,에스아이리소스,00120906
103230,에스앤더블류,00137012
095910,에스에너지,00585538
351320,에스에이티이엔지,01440153
056190,에스에프에이,00358271
043340,에쎈테크,00203209
187660,에이디엠코리아,01409022
200710,에이디테크놀로지,00657002
241840,에이스토리,00975290
045660,에이텍,00256502
224110,에이텍티앤,01099861
021080,에이티넘인베스트,00161462
950130,엑세스바이오,00956028
092870,엑시콘,00611736
317870,엔바이오니아,00964595
365590,엔에이치스팩18호,01505186
182400,엔케이맥스,00977650
138690,엘아이에스,00670085
058630,엠게임,00397058
065150,엠피대산,00390860
265560,영화테크,00659976
122640,예스티,00530556
080520,오디텍,00529815
049480,오픈베이스,00335076
109080,옵티시스,00660291
153710,옵티팜,00971726
382840,원준,01459212
095270,웨이브일렉트로,00526696
065950,웰크론,00362159
203450,유니온커뮤니티,00408266
241690,유니테크노,00531865
024800,유성티엔에스,00173999
054930,유신,00144650
367460,유안타제7호스팩,01504804
178780,유테크,00923826
179900,유티아이,00961774
054210,이랜텍,00206659
349720,이베스트스팩5호,01436336
047560,이스트소프트,00273420
066980,이엔코퍼레이션,00389998
123570,이엠넷,00616290
353810,이지바이오,01480568
033230,인성정보,00229021
064290,인텍플러스,00479787
115310,인포바인,00491415
333430,일승,01396676
049550,잉크테크,00261656
254120,자비스,01174038
234920,자이글,01020524
040420,정상제이엘에스,00287788
079370,제우스,00442570
033320,제이씨현시스템,00223513
322510,제이엘케이,01153293
094970,제이엠티,00533508
080220,제주반도체,00447487
034940,조아제약,00231831
036930,주성엔지니어링,00252135
051980,중앙디앤엠,00347716
263860,지니언스,00962223
119850,지엔씨에너지,00626464
219750,지티지웰니스,01031229
052300,초록뱀컴퍼니,00349811
071850,캐스텍코리아,00302582
223310,커머스마이너,01075126
342550,케이비제20호스팩,01418543
347140,케이프이에스제4호,01428249
042040,케이피엠테크,00206686
054410,케이피티유,00357607
274090,켄코아에어로스페이스,01158553
078940,코드네이처,00501970
082660,코스나인,00442455
069110,코스온,00402989
102940,코오롱생명과학,00525642
322780,코퍼스코리아,01364297
237880,클리오,00957735
139670,키네마스터,00535375
065130,탑엔지니어링,00366845
131970,테스나,00563545
200230,텔콘RF제약,00608802
045340,토탈소프트,00355089
105550,트루윈,00766106
290090,트윔,01217014
026150,특수건설,00186939
246710,티앤알바이오팹,01109937
043220,티에스넥스젠,00317487
104480,티케이케미칼,00693554
033540,파라텍,00105138
065690,파커스,00384762
225590,패션플랫폼,01101041
256630,포인트엔지니어링,01179608
141020,포티스,00812362
005670,푸드웰,00165103
371950,풍원정밀,00417167
377220,프롬바이오,01217865
032580,피델릭스,00189538
024850,피에스엠씨,00155586
319660,피에스케이,01365825
031980,피에스케이홀딩스,00208444
006140,피제이전자,00155735
161580,필옵틱스,00938721
341160,하나금융15호스팩,01416457
388220,하나금융19호스팩,01568875
